41059,108415,0.013228
37197,114399,0.032838
42559,116734,0.05088
42782,118236,0.052576
43448,120237,0.062734
44592,119022,0.105662
44855,119494,0.106303
44918,119459,0.10636
46526,121551,0.127462
43299,126633,0.153312
43233,127963,0.15411
44273,125230,0.200779
47510,126114,0.218904
45632,131681,0.247079
47547,135718,0.259889
49161,109904,0.272477
48899,110285,0.272489
58616,112979,0.28969
59014,110261,0.289827
59154,113580,0.290489
62002,97118,0.291868
48353,117945,0.295593
56806,117343,0.300789
57235,118726,0.302488
53248,123964,0.309311
59462,118855,0.314594
62632,114836,0.31678
62726,119509,0.319429
62859,123199,0.327
63514,101055,0.336016
68861,112912,0.34294
73508,89517,0.350789
73997,93027,0.351176
71873,111562,0.355845
73809,111336,0.358823
63582,116272,0.361014
63919,119602,0.363394
64787,122587,0.369649
69576,122762,0.374498
69764,124520,0.376432
71160,114948,0.377147
70597,118044,0.378904
72814,118506,0.380205
75251,114722,0.38207
71324,120221,0.385353
53207,125678,0.397468
50294,129475,0.40229
52903,128894,0.402812
52454,129437,0.403274
63108,125877,0.415573
62166,128217,0.417368
61063,131025,0.424719
53052,133451,0.432142
59635,131905,0.443634
61175,134434,0.44946
59788,136222,0.453922
61463,135350,0.455158
62317,136521,0.457941
67602,126611,0.463501
70249,125231,0.464176
70401,126899,0.46489
68400,128362,0.465622
65471,130849,0.470551
64470,132624,0.492393
64556,135355,0.500205
63436,135795,0.500267
67707,134512,0.503836
69193,136158,0.50619
73071,132234,0.509438
73482,132341,0.512577
75825,131717,0.513389
37266,138585,0.524879
39319,139014,0.525302
41699,144882,0.540544
38391,147649,0.557996
40533,145926,0.558361
40003,147419,0.55879
41360,149702,0.564897
41886,148773,0.565059
40567,152362,0.569269
42097,146496,0.573597
42035,149326,0.576145
42324,151388,0.584046
42246,151549,0.584089
44792,141878,0.603357
45002,140584,0.608827
45220,143498,0.615373
44984,143717,0.616451
44645,151950,0.638493
40627,152788,0.656708
40654,152932,0.656722
41261,153840,0.660323
40915,157309,0.66989
43099,154210,0.67675
41185,159183,0.693013
41595,160153,0.695524
40818,161711,0.701062
42311,159448,0.705431
42659,159448,0.706261
42152,162103,0.714878
44257,153221,0.725098
44143,157979,0.733141
46544,156072,0.750034
44569,158447,0.758791
45769,160136,0.77359
46390,159206,0.774915
46780,159991,0.777261
47288,160543,0.77795
45864,161593,0.782882
52081,138785,0.788368
49199,139748,0.788864
51765,140190,0.790101
55182,138216,0.790898
50875,143539,0.796327
51081,144295,0.797887
54329,143535,0.799665
53067,144004,0.800813
54914,144574,0.801632
62517,138893,0.808869
60981,140008,0.809379
61294,141151,0.809961
60178,142250,0.812527
52033,146033,0.820491
52147,146541,0.82066
52715,148770,0.823109
53885,147174,0.823925
49369,150861,0.828291
54387,151714,0.833974
59042,149250,0.839214
60435,147215,0.840227
61687,146184,0.840751
64493,141237,0.860486
65390,143774,0.86326
67170,145069,0.864207
65350,147836,0.887827
68438,148310,0.891005
70380,151790,0.90059
74160,150444,0.913889
75715,150811,0.915263
53640,154544,0.923858
53637,155530,0.924389
51292,156087,0.926924
50865,158000,0.92942
57527,156786,0.931824
53264,158145,0.932576
61204,156552,0.947018
61535,156482,0.947037
62583,157838,0.950112
50527,158766,0.950655
49640,159613,0.95123
51194,159426,0.951915
52713,160519,0.954316
48860,161730,0.9592
57813,159344,0.967205
60903,158506,0.970844
58855,162722,0.977891
63643,160378,1.018443
75256,162154,1.047767
76024,162014,1.047903
76570,116653,1.081962
77455,115770,1.082118
79591,115052,1.082829
76688,119153,1.083982
78215,119764,1.085091
79281,119912,1.085371
79299,121626,1.091006
81360,122564,1.095372
81596,124139,1.09714
84761,124600,1.113703
86324,114533,1.147916
88668,114325,1.152256
86569,122360,1.156996
87122,122836,1.158485
92474,117984,1.170708
91308,124831,1.175517
77200,125685,1.179871
81034,125452,1.184812
81559,125370,1.185063
81521,128002,1.187584
81722,130035,1.193964
84790,125145,1.201234
85025,126369,1.20198
85004,127134,1.203505
85049,127385,1.203658
83292,131338,1.208301
84985,129225,1.209776
85147,129143,1.209814
85037,130214,1.211671
84593,131234,1.212045
78314,131507,1.213446
77818,134507,1.220935
79807,135252,1.224864
84374,135701,1.24195
84380,135829,1.242069
84513,135956,1.242766
85184,135864,1.243101
84115,136157,1.243417
84597,136108,1.244178
84852,136204,1.244277
